REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,1617.826474949691,1454.110781955588,1774.308742873411,1815.928199795861,1776.918207121875,1908.114782345873,1929.723897093719,2155.353067844134,2191.504355590616,2565.022085840991,2848.586061114954,2757.052587477253,2985.319144528449,3046.579931171283,3017.942544246961,2967.692067153003,2958.785399230795,2952.998915989087,2902.392112855461,2927.245143535302,2769.68574507111,2144.166570028188,1981.710168105611,1992.424394197954
Africa Eastern and Southern,3386.854479528425,3293.797612743408,3135.101068992847,3023.988843296056,2993.63013167436,3048.085253251095,3133.177680755635,3177.467286743197,3155.073755166367,3157.384839828529,3176.568655266425,3208.676017313425,3248.720233839183,3264.299548876816,3362.867625418939,3484.019855826587,3621.836042180287,3767.971903573636,3837.110747822464,3768.541064402344,3863.836012112277,3924.47066573014,3931.146619336666,3991.808971158481,4052.851525916122,4076.020564576064,4074.982132774723,4085.879142872998,4088.890953215394,4073.880521700402,3861.11123778648,3934.287266805077,3974.803044903073,3967.86093740163
Africa Western and Central,3299.401374947776,3250.641417809332,3228.26351611053,3106.5015330611,3022.456776916948,3006.39725013475,3063.322452199331,3115.780856765376,3144.167844039476,3112.305774501061,3139.324872301722,3208.778205031953,3404.430333195392,3486.966842108046,3652.070204715081,3753.569281739352,3842.645829576792,3932.742321965856,4059.821435523762,4182.899797021204,4343.405839436583,4426.936687993233,4535.771464997726,4678.325591443876,4816.917354859047,4817.800551972069,4713.515152100412,4709.645461224433,4730.823407051738,4774.41277140774,4622.731426866717,4698.926894184757,4767.383262308939,4814.611443372496
Albania,5327.747458172141,3859.056861730101,3603.488844748124,3972.123928511698,4328.413977681465,4935.452219809275,5418.148324763671,4856.768289353623,5318.961887810501,6042.769898167699,6503.8345973574,7109.627581044545,7454.478313215982,7896.097377877529,8366.433913573139,8874.09928781527,9457.386999381848,10099.28150638267,10940.36062017057,11383.78873771034,11864.53567881639,12199.31045463511,12392.65400958832,12539.78385522149,12788.74723062099,13110.61788081084,13566.90582558598,14095.75904588883,14698.53761817676,15065.74957261785,14650.39592918015,16113.13651872342,17097.4783599802,17975.79839464121
Algeria,11728.54572862022,11314.86473521217,11241.4154174565,10743.70635340876,10414.03482416402,10588.44336956159,10808.87886654648,10725.967349407,11094.88753670882,11292.03729963616,11558.22046927244,11742.59467606351,12213.1263530633,12835.18144119387,13226.76504800249,13738.49564435739,13920.69405541777,14114.6745191405,14206.77671467313,14104.42817215192,14496.42113118248,14641.9640935327,14697.5396133,14778.1914255494,15073.76294037241,15239.51714553158,15511.68587666569,15427.6641894871,15343.42612212553,15199.19899656477,14194.15574782613,14496.86546972987,14782.20029688929,15159.32423719395
Andorra,50036.30077575611,47624.96685735417,45246.53307100998,42605.65958324506,42716.36563539998,44375.02472381593,46386.09120224853,50032.35291251282,51092.22223522182,52921.04526098456,54809.1441679423,59109.01368063779,61188.63708514743,63656.19583321842,64353.48581135307,65114.80536630213,66390.293726491,65534.11685551712,60691.60515306368,57203.97088837313,58285.05777569807,60470.46623770443,58172.13239294742,57332.15856113655,59929.24446705011,62105.15423896749,64402.80923694676,63239.65777119108,63048.59855728337,63215.89979191298,55488.49029910951,59332.20291001272,63913.38350791049,64631.29639092712
Angola,7391.752353683448,7218.441431735835,6578.068574920001,4843.155883815522,4751.471649039665,5284.703133219205,5800.962513835701,6015.186847368994,6090.095877585338,6021.22914776477,6002.989140112461,6049.163212222716,6645.477766277176,6609.214889023856,7074.025947376249,7845.890152715419,8435.4550466421,9263.980702933408,9916.90935059131,9629.091948018293,9672.83922433216,9627.020597769784,10051.33991184516,10150.91609576925,10250.59240403328,9980.92988185425,9381.809725730422,9042.117129402322,8620.21466424389,8274.542561746428,7556.967927719756,7408.126591210588,7397.486427311053,7244.893052951556
Antigua and Barbuda,21078.78554748791,21428.56612418333,21334.52726259014,22055.91505329985,23086.2457164435,21643.99095324915,22601.88097269215,23355.01449373947,24000.93816630395,24467.11201910705,25552.72389964926,24019.59112406706,23962.96578458795,25141.10120209488,26308.86277156613,27698.2159589684,30833.51760243167,33251.97314749686,32762.9135009685,28411.39137168199,25831.81379142131,25028.96613873218,25597.99395567456,25211.92410750132,25565.96568427715,25748.62444269595,26637.41815961168,27143.04162822341,28884.12012973159,29636.89243770245,23915.16198428575,25733.29482696443,28033.13077820628,28967.25567752673
Arab World,11052.36117027458,10609.4584659016,11003.75683185655,11055.52709157424,11092.03099281489,11127.83965709288,11411.98272612355,11739.77170729437,12091.97599737367,12183.6101613699,12628.55120709057,12612.10183064697,12467.27327209636,12578.54174433951,13392.31100416581,13774.56336932283,14256.87968253035,14558.54063310669,15005.55009943074,14831.35578822753,15238.71677989889,15504.97852716722,15686.93885599567,15612.97035403037,15652.60364103205,15855.65990479696,16095.48047715566,16054.97587590112,16226.42404300504,16263.113001947,15316.62719969635,15670.38380903064,16194.4869763763,16028.41578374092
Argentina,17007.28443171907,18295.60919968116,19476.28406064768,20791.34514795036,21711.84278809096,20819.49994799029,21695.59495153715,23172.15833983423,23783.10171854486,22714.51113027014,22281.38142999575,21066.45812904325,18571.70204712742,20005.13851134646,21591.44939651698,23262.40757928158,24877.24939222955,26850.66459327707,27658.48534468313,25747.19768099947,28056.25702123418,29425.7593876084,28825.96668653608,29227.66018184373,28200.81525713183,28669.20613367961,27802.10572014976,28334.904184742,27367.11509410798,26629.55294195005,23877.09314048554,26300.27426117504,27627.96347646362,27104.97999781691
Armenia,6137.600457867606,5326.752855582356,3136.724282605262,2958.880371856468,3200.896494685686,3480.755936525098,3717.335765227622,3879.179380096783,4211.512767787968,4406.967067186179,4589.008250399769,5044.116478264678,5731.353466092127,6569.260234406313,7299.400018588655,8362.900840371192,9525.231467797785,10898.84837956342,11727.4821272949,10143.23507968671,10438.5641904169,10990.17709903501,11796.27411779944,12194.01895238429,12667.37573302492,13112.76009029153,13192.99407317313,14243.87490037949,15037.0452420712,16215.36079650941,15052.93597911361,15921.70528196402,17886.17838771678,19230.18992968836
Aruba,34579.22063976196,35552.08441558264,35947.37225932279,36124.30334926986,37118.27204886589,37009.64797288465,35997.85442028233,37070.01330812794,36889.42319515875,36842.95516541585,39244.82985458064,40505.53300106094,39846.06276157149,39832.57907646087,41834.92758110551,40608.81969482583,40335.41768921847,41272.27939244004,41710.49704415247,36590.56010998897,35508.5945732562,36435.55533282209,35530.2600441558,37255.35345203235,36275.68095533712,35682.30025267025,36021.83083634445,38558.00455817526,39419.5553476692,38435.42691325057,28521.68885177574,35696.30937229264,38877.67443628421,40516.80856331362
Australia,36182.38413203359,35587.56323612141,35342.06870737291,36446.61275943881,37534.09511433874,38560.7773400184,39567.50396665682,40673.38632591575,42147.87053157174,43785.30204844801,44984.55063189581,45310.01819839809,46580.27532850469,47470.80287579324,48949.92517322504,49882.95635398935,50570.35708812417,51529.49405493509,52318.48793768749,52221.28511582305,52556.56847546297,53078.95265199919,54203.3003755705,54664.76813760316,55253.15961593798,55656.48796383819,56305.89642945454,56648.8086593728,57414.05822943865,57800.49340379696,57023.66781633136,58145.55136417153,59845.78580454342,60408.94336757843
Austria,43271.86799793486,44316.44481278245,44749.01433987338,44615.32480099425,45511.54031015139,46654.29530660869,47623.70111695173,48590.53469488567,50232.59424324862,52020.99427777384,53551.2877466832,54049.25483831797,54582.34906226656,54937.17159202466,55997.95159362289,56908.28745626761,58478.74209603389,60490.05142592292,61177.34621856399,58829.05798691231,59749.45837592069,61291.6535730121,61396.14887620166,60882.32025934118,60864.91989631398,60970.98280444618,61592.20228201734,62555.69347243166,63798.21387324131,64629.82578182571,60295.49514971084,62912.17411405953,65602.25653348178,64336.03752891603
Azerbaijan,10612.96666458486,10399.39311664374,7928.372295229395,6005.197797095324,4757.584412795696,4147.974691078832,4159.597892299096,4358.604800190619,4749.174440779685,5056.046340192112,5571.309502498523,6075.614523861322,6599.657605945233,7218.471885546604,7817.716106749247,9901.926629660462,13172.58129396034,16280.08350788303,17656.96345096111,18901.88576090014,19621.38434511771,19386.74340132528,19545.07185766676,20414.83148366179,20716.14152292688,20694.77875503559,19830.32231763075,19675.95989082637,19798.83353871459,20122.7128524509,19126.09490313499,20111.37569521088,21051.2687619289,21262.29799715421
"Bahamas, The",33062.54590449747,31139.85062283694,29404.33050218817,28946.93406120501,29337.82982393086,30119.43562579106,30898.83624469406,30830.06023460003,31827.27196686366,33648.02064036867,34587.10510526335,35062.17075334043,35600.32701534672,34730.66480093687,34607.7421037921,35355.18605126929,35778.72871150872,35786.71314873009,34488.0069457595,32620.77781233718,32701.95038947232,32526.20475959739,33167.60652477527,31921.71184444774,32226.92361506787,32290.69973507119,31756.84061857591,32442.72299384993,33106.6940523959,32495.33387304906,25457.08038849891,29340.4723479708,32408.71185976508,33105.60385897103
