REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.3182697466378,277.1180514439406,338.1399736433871,346.0716270962232,338.6372738881967,363.6401414367734,367.7583116935803,410.7577288790974,417.6472826474983,488.8306524919485,542.8710304760368,525.4269827658195,568.9290214583409,580.6038333330962,575.1462458085464,565.5697304087512,563.8723367231469,562.7695741409875,553.1251516882929,557.8615332074586,527.8345544993056,408.6258552174031,377.6656270807047,379.7074972698843
Africa Eastern and Southern,1172.316284579579,1147.2682173762,1204.744459728108,1238.408507373339,1261.077266060259,1289.399062389803,1314.12850381894,1345.904946556905,1361.870203417466,1390.437288147152,1366.137658809828,1399.978748673485,1398.436441729023,1420.753903746777,1454.624336042282,1432.584603402514,1424.547333054533,1400.343603062209,1379.613354456052,1376.295964241816,1408.595745490705,1420.49119689592,1379.884875875596,1337.862183241644,1341.572467794217,1300.102602940734,1290.427341021382,1301.85277139395,1318.619218138237,1316.420855521766,1281.46122178296,1245.474399597704,1184.314554107944,1145.063606432735,1136.522316184878,1154.829529522352,1185.99995587343,1200.398105738784,1190.193575719225,1190.104622961239,1196.895129260945,1207.197004492987,1221.23962370701,1224.839257228822,1259.181138493324,1301.719233829692,1350.795880750107,1402.328173129556,1424.259677037158,1397.873154174538,1431.324792343122,1450.051660568958,1436.173008307134,1457.901496247887,1475.665544984814,1479.564123481166,1472.630603738922,1472.734782686307,1471.225033005897,1463.139548753317,1383.377818348239,1408.860837522161,1421.589727547147,1418.363736653197
Africa Western and Central,1110.513849297543,1107.762042143135,1124.661059680613,1178.787177662134,1215.750863932149,1238.103966782776,1192.193604732988,1060.095104282473,1052.208144876807,1184.296706382972,1358.785939104607,1466.146028830515,1475.895725748985,1496.92545543426,1604.662308212206,1528.886850897891,1613.828576494167,1642.258224954558,1566.174859914008,1600.027461583701,1585.401904410916,1436.929033563151,1350.386030417623,1230.69504801196,1205.04535501529,1235.065195599066,1218.020774113546,1202.161751536074,1224.014493879008,1210.91972119185,1247.047875490473,1226.862769699808,1221.821260014046,1173.725505542199,1139.201703121893,1129.417530828801,1150.091737605546,1168.592294297331,1177.722012705952,1163.561220079832,1175.77484413942,1202.423889811943,1285.71218344687,1319.360538852771,1385.009789633358,1424.638807489677,1459.328099715522,1497.18807427243,1546.852236520699,1598.600925369655,1663.015834072648,1695.187851444814,1733.897752842921,1791.113987388577,1846.050943732328,1845.767804211081,1799.974944911629,1793.465291881335,1798.339783212795,1811.727582560526,1751.195010482341,1779.340158719946,1804.198142398751,1820.754741423083
Albania,,,,,,,,,,,,,,,,,,,,,1740.505838477664,1804.010779467745,1818.367820137591,1799.878616642291,1740.347681751701,1735.290312343898,1798.015079824681,1748.578720302225,1691.530949016606,1808.646078185325,1606.296467764579,1163.491598384887,1086.4387714304,1197.580907500543,1305.001060571652,1488.020881196268,1633.552000018852,1464.297962541992,1603.647650276514,1821.87313102694,1960.882459741151,2143.526839478151,2247.498080108812,2380.644620787134,2522.449374462092,2675.508637096754,2851.367759199611,3044.896616820549,3298.478908435319,3432.170871972196,3577.114324988681,3678.047701451458,3736.340079576479,3780.699192540962,3855.760744096595,3952.803573648134,4090.372728291832,4249.820049398497,4431.555595069888,4542.268662828925,4417.041051053945,4858.052015009309,5154.827497536799,5419.637791252726
Algeria,2388.420078671209,2027.273515264566,1604.487738349655,2122.431091902299,2209.906978578896,2311.739746119826,2161.491339306583,2313.258587644186,2505.314096799712,2655.443288345606,2826.241462495008,2449.952268603957,3050.822166425237,3093.380555080995,3245.607994895279,3290.827601155288,3408.018208208886,3459.303996215897,3672.117779571575,3830.809592202321,3742.710247196821,3731.939053904273,3840.5753859786,3912.936591250349,3993.395405140545,4002.556194163377,3888.364758739065,3746.165667146472,3606.268388025747,3666.853078805287,3605.687012135265,3478.5097627463,3455.929362992597,3302.919505710825,3201.569144057047,3255.187268716001,3322.955381394497,3297.46603365919,3410.882543996244,3471.491962766553,3553.324205212817,3610.006056329027,3754.660815394023,3945.898160927136,4066.28204806069,4223.602521347207,4279.615471255308,4339.25055772185,4367.565380199009,4336.100540565977,4456.610274162013,4501.354301358266,4518.439789572603,4543.234440048594,4634.101491839494,4685.059027290017,4768.731400802179,4742.900755366039,4717.003588535562,4672.664086821976,4363.685337669116,4456.746876411467,4544.466880596469,4660.405456868855
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13054.63643268966,13201.73475161664,13291.53566268512,13284.27911288749,12794.75650217184,13092.31113934083,12809.46330796826,12342.05753840164,12446.30862650155,12521.80950586442,12068.26673749825,11871.79371927292,12203.08947142837,12727.41026513862,12665.28299212679,11930.77712368259,12412.60240745617,12524.01602522829,13194.27474012804,13233.57848173405,13709.09748954728,
Andorra,,,,,,,,,,,43005.5424060499,41930.15051810511,42354.74513112393,42738.16831474493,42363.44597635749,40073.41036720521,39058.58865791573,38021.81983249935,36647.70204467543,34983.99909252363,34281.74394574959,32958.7650422337,31996.54420213383,31117.19622530687,30392.84206583263,29997.08626670497,29680.13294419213,30064.99796743174,30469.34424080223,31180.41233298425,31143.14687458021,29642.30598066595,28161.94249273459,26518.23363273634,26587.13830371945,27619.5060608184,28871.21607417569,31140.68968084446,31800.36406670516,32938.64373998069,34113.81737714953,36790.10370725906,38084.48430946855,39620.32015906966,40054.32115167985,40528.17486090042,41322.05291987609,40789.15896828569,37775.12613905517,35604.38400851977,36277.26444120867,37637.48683291257,36206.97843432274,35684.169433471,37300.62441834785,38654.93472030947,40085.02059715855,39361.0622634329,39242.14489607724,39346.27503442857,34536.64992099477,36929.01915151621,39780.39661162683,40227.23352827143
Angola,,,,,,,,,,,,,,,,,,,,,2835.459185259941,2613.739386129112,2519.351585187892,2529.401922669357,2583.61982616848,2577.465091774612,2557.958837993191,2571.496918724542,2637.781855277418,2550.294313047749,2380.176243005648,2324.369376198543,2118.166545323241,1559.517151583998,1529.994431255996,1701.697276527094,1867.935031010286,1936.916193385886,1961.037225257129,1938.861840259184,1932.988478868142,1947.856729889145,2139.872596629006,2128.195793239026,2277.866965329278,2526.410579410076,2716.253026382093,2983.041872851297,3193.287722708362,3100.609273654734,3114.696085928225,3099.9422899117,3236.574945131458,3268.63890723473,3300.735109808715,3213.902610800591,3020.983328054172,2911.600842140375,2775.746422729908,2664.438509955439,2433.376372755638,2385.448818342943,2382.022639525854,2332.886912689775
Antigua and Barbuda,,,,,,,,,,,,,,,,,,6061.443565712901,6309.755866741604,6794.561601567794,7321.8405159329,7583.315679283652,7562.892063810611,7950.26393459359,8765.440316351154,9477.961906819874,10619.16558664259,11381.2307700931,12035.39299097941,12727.13091265116,13164.22720926707,13382.67390177852,13323.94428769688,13774.46895200923,14417.9361441651,13517.21207950945,14115.43828324535,14585.78894778654,14989.18438849287,15280.32158439507,15958.31327534619,15000.83362575871,14965.46968920622,15701.24463622134,16430.54085644888,17298.22656783288,19256.3006281792,20766.6864243165,20461.25647953723,17743.62239729723,16132.61187233223,15631.21349287551,15986.58555421873,15745.47530673555,15966.5831000524,16080.65804958735,16635.73188936281,16951.50635407982,18038.85329498341,18508.9783729509,14935.61502384958,16071.08432229334,17507.38922410951,18090.77351770576
Arab World,,,,,,,2385.400358056242,2475.761287458069,2665.480282359404,2782.666848902822,3319.012494135088,3465.864330505162,3837.335392305968,4220.382839091973,4526.643853779792,4389.973561529026,4860.862501684547,5022.722485259311,5003.832446065597,5345.811310294605,5489.253558990723,5360.771979708987,4889.676668659759,4562.139602001999,4477.647017431719,4306.924030202741,4144.070759394162,4033.141157755887,4050.644406762297,4095.013554342443,4273.586690949621,4145.124242853702,4305.912451635856,4324.921489859117,4349.735152314559,4360.675374732706,4460.920732646185,4592.78996559558,4696.853699865024,4713.785829133247,4893.663194317795,4876.898374035063,4820.097159588278,4910.133205102629,5232.643108880324,5394.481289102037,5597.075319639259,5709.616385222811,5875.936481837591,5769.667696455661,5929.230539192587,6000.795313154008,6152.576168970003,6149.32508537486,6158.305815873558,6203.702636404354,6280.662007830017,6250.573307643122,6301.935834309249,6282.385397388249,5861.797277843599,6006.440273670009,6205.869836853522,6134.953745433896
