REF_AREA_NAME,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,32567375969.99459,29495629513.19722,37931379899.27071,41281584746.4411,41865355064.29883,46566715049.45028,49061481753.75705,55844878995.58747,58036781460.45988,70451155676.93933,80569661676.73479,80913174277.92688,91231454557.64032,96341095375.76984,98965950294.89696,100402257640.5926,102671664129.9729,105389386367.805,106642706595.9406,110814146350.3347,108208794210.7825,85767546197.75436,80415503801.35104,82595477072.04597
Africa Eastern and Southern,1055847416731.928,1055474259962.229,1031707546502.76,1023088007467.272,1040112268425.848,1086887382636.245,1147177051461.611,1193603623100.747,1216299096376.243,1249537996202.196,1290184518460.271,1337401409879.14,1389868653482.923,1433593159368.549,1516411320561.087,1613368198077.401,1722567713262.767,1840958376604.143,1926501120874.725,1944580183161.2,2049024643215.774,2137808234792.504,2199908806332.273,2296099294102.771,2395109572890.609,2474646929676.646,2540219171193.481,2615202660065.45,2689676905471.771,2753740308606.806,2681333640746.994,2805504558104.616,2908845901221.608,2977894568548.492
Africa Western and Central,691442450823.7483,699468823706.1416,714064045990.8226,705942464240.1954,705320827796.8438,720939697577.157,754849968300.5117,788939343015.0109,818420079535.9254,832561395980.8016,863215281625.953,907380601512.9088,990150629058.9956,1043101181568.867,1123833668952.969,1188336778466.276,1251408175935.508,1317406446144.059,1398958071701.927,1482184793143.313,1582555837565.011,1659172234344.93,1747906474735.765,1852758252392.916,1960447054483.909,2014456562435.892,2024241438271.888,2076402177174.338,2139259019255.178,2212297822046.427,2193806653095.442,2283307241252.371,2371235316819.043,2452556275837.203
Albania,17509865786.67598,12606728365.33128,11700668814.9621,12819183916.87473,13883543656.3165,15733155619.07249,17164872691.74603,15290471326.77451,16640531834.87179,18785630118.48598,20090520674.77114,21756690363.56783,22743687878.40509,24001103927.35458,25324685103.91716,26724234641.96495,28301675092.83915,29995037761.74215,32244678020.8774,33326257821.63305,34561641587.6414,35441375736.25365,35943666082.06399,36303827920.98088,36948020778.97603,37767796261.10544,39019791411.87365,40503557500.72257,42131535463.83902,43000526838.41971,41575611437.22797,45304758103.05301,47491477568.25505,49361039069.32972
Algeria,297621347985.7783,294049890068.433,299342794859.9887,293056593899.8357,290419094657.178,301455005124.1019,313814655723.1141,317266616744.2819,333447225648.2892,344117542050.3164,357194008652.8053,367909828909.1693,387776959670.2645,412982462048.8317,431566672841.0291,454871273174.4442,468062540096.5037,482572478839.4947,494636790810.4826,500572432300.2082,524599909050.6185,540337906322.1362,553306016073.8677,567691972491.7883,590967343363.9515,609878298351.5984,633663551987.3104,643168505267.1204,652172864340.8601,658042420119.9274,625140299113.9313,648895630480.2604,672255873177.5497,699818363977.8295
Andorra,2631759311.902444,2698763996.905689,2723841290.874801,2695745293.151082,2759989816.434463,2836096580.148524,2967967659.48467,3237093233.439579,3340511674.183273,3477441884.099296,3600138634.67129,3892446768.89736,4069411497.984815,4423214423.667015,4783072832.928817,5041253346.264477,5283671526.222786,5365736885.779175,5067445572.255052,4798726709.883845,4703953872.845489,4703574275.367364,4469597620.279722,4311034330.846102,4419002699.266874,4482377402.04324,4648659173.532054,4664746876.176368,4738858764.762533,4834372720.686753,4293699379.345094,4649508748.840237,5094216232.498006,5225828100.984803
Angola,85939173894.77109,86791139889.27733,81724029491.05652,62123814347.74601,62955878002.46638,72399259721.00754,82205283157.57784,88185123454.59741,92322016743.79083,94336012046.8804,97217622732.54396,101306594541.042,115150838445.2433,118593848514.756,131579874934.174,151356330124.3477,168837986250.4997,192492188138.7247,213993565542.6839,215833910210.9578,225327096983.9534,233150573548.0391,253066545188.451,265605013213.7818,278413972399.1026,281041007465.4158,273790009952.6717,273386955626.6214,269788194480.114,267893544947.4396,252789131669.92,255820605533.9917,263609643364.3358,266249138676.0227
Antigua and Barbuda,1329354689.337873,1358292520.913609,1374028893.819855,1446581300.600777,1543153922.424233,1475882099.111107,1573362138.271046,1659443844.82367,1737955934.498402,1802394273.99954,1914205652.770525,1827146277.216657,1845915180.318379,1958089526.023958,2071007368.514914,2205082670.709433,2485304852.826402,2716819214.043084,2716438684.1923,2391472045.928588,2203970352.684066,2160800704.689027,2233680952.572162,2220262884.602996,2269362943.964861,2302158762.797002,2396541874.402103,2455576690.022116,2626317506.915974,2707745040.678246,2196511967.608709,2376444043.975338,2602595861.448671,2703108430.804084
Arab World,2466713424820.746,2423224885117.731,2578417521720.069,2663566186447.669,2746680967930.71,2825943123375.787,2969730233686.315,3129414393533.146,3302248499329.988,3407873139035.455,3618687303630.305,3702664033691.0,3748803213302.023,3871865147780.749,4219385214642.63,4444066043045.966,4712273833580.729,4934587881105.271,5217198969205.989,5285697545445.701,5540317919709.041,5768703762596.616,5977197088888.208,6103957599034.258,6264657333074.727,6503843902341.738,6757016956712.607,6876601216995.215,7074689403487.556,7225397230498.61,6949509703601.729,7218509069336.167,7633304894125.062,7720367584623.245
Argentina,557088925124.2312,607968472614.5095,656224702857.1022,710080926887.2717,751522674939.0015,730140279566.0184,770492868120.7354,832987905019.2681,865059429174.3916,835773213823.7504,829178972033.759,792621800475.0797,706269738674.223,768683083609.0367,838091886093.4539,912276929668.6864,985689236302.5994,1074476681421.66,1118070705029.302,1051897409980.825,1158406210935.09,1227956360246.094,1215352364993.029,1244585524448.653,1213313877880.723,1246451419104.462,1220521143173.665,1254921567938.195,1222075295207.811,1197623267200.438,1079052757506.562,1191725417699.431,1254527913254.767,1234317448237.565
