REF_AREA_NAME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6206547590.074026,5621147630.730684,7228795918.925245,7867263256.28817,7978515641.583037,8874480195.583212,9349921885.778885,10642671963.11354,11060395115.68086,13426272073.23976,15354612541.50594,15420077665.5323,17386490239.35363,18360263162.75784,18860496494.04041,19134221644.73249,19566715174.16327,20084646751.49538,20323499020.36386,21118473702.34707,20621957125.20773,16345202562.54847,15325233810.13884,15740683549.23121
Africa Eastern and Southern,152485617553.1377,153200373067.6781,165256796211.9632,174548150858.6952,182735258702.4588,192163619061.497,201431197961.9572,212255106481.5948,221071567551.1543,232325726259.067,234955164758.3433,247827477641.0047,254692412917.0016,266425646847.9875,281013990851.488,284961954672.1854,291751533262.4315,295025569382.46,299478583874.6124,308254680203.2042,325093656159.5892,338138126611.3239,339206073756.3394,339341575851.5274,350765125282.1788,350313175504.1402,358250723761.1771,372417567195.412,388331546640.2858,398795376837.8318,399493845643.4863,399103504456.7856,389737439405.3402,387402501872.8757,394875369504.1439,411789546698.154,434240273307.5629,450925028921.9061,458826475384.1766,470985014904.5236,486126929267.7888,503169209698.7082,522471173018.1183,537916681418.9808,567800087822.4877,602795765120.0704,642446909327.1705,685150490273.6571,715079142760.1793,721307367420.6971,759043541900.5911,789898216824.1349,803696721168.008,838588875517.9231,872072576697.475,898277807343.0052,917992857347.0004,942636770833.1064,967773422990.44,989009454513.1792,960681330778.4427,1004645882051.535,1040349774688.043,1064487323079.329
Africa Western and Central,108420494332.2298,110451268805.5398,114552077816.4703,122698984823.43,129341837842.3936,134671827156.6031,132627905912.6312,120633542533.631,122523994426.4151,141172337309.5534,165889468470.7884,183375206024.3255,189175139636.0904,196770764295.1571,216487528972.0179,211857725560.1989,229707957053.8231,240194349406.1413,235556796044.5003,247558986503.217,252342900755.6544,235315052061.8016,227654988283.5067,213224263762.4346,214354366713.9546,225783550405.1383,228852876968.3493,232142660018.7498,242948549865.9662,247103031937.8549,261338873733.5205,263994746904.1689,270256324506.7394,266725339390.8859,265844227917.5022,270836441550.6168,283400368462.9855,295896431520.0441,306558488961.4797,311259954479.919,323300981738.9085,340022289698.9501,373938839287.0569,394677265173.1508,426202276015.9041,451024228913.6143,475249397511.4959,501534313377.1766,533023793380.6153,566454396917.4407,605933572285.3169,635339697254.8645,668175443165.8636,709335243186.0938,751328052455.902,771766914345.1613,773007777373.4626,790708189694.7812,813201903750.8114,839491928524.2909,831063479599.043,864618743927.3344,897385026208.9531,927489896195.9784
Albania,,,,,,,,,,,,,,,,,,,,,4650626378.894803,4917834409.432723,5062841517.517052,5118782790.58601,5054716276.962412,5144722777.005321,5434743310.805876,5391926084.817541,5315358596.209045,5838206447.555771,5279160805.759934,3800882718.687765,3527709061.946593,3864937294.224704,4185837881.821755,4743489156.743365,5175146643.275723,4610021453.809664,5017059783.319582,5663799108.527668,6057218861.96683,6559562958.946374,6857139117.392788,7236245479.658504,7635300387.08491,8057259479.004593,8532852033.689517,9043394715.199516,9721653065.536137,10047745438.94517,10420209148.09285,10685445792.01827,10836884503.1437,10945471986.7318,11139693788.81245,11386853113.0189,11764325094.21287,12211675169.68446,12702504600.37404,12964502337.02835,12534895529.69239,13659219676.83316,14318507636.80549,14882173624.92183
Algeria,27287513102.05243,23574926518.01035,18934192372.5722,25431219790.04219,26916253746.48595,28586918218.76386,27213325104.77229,29785790539.01989,33001535545.90125,35784647536.01385,38956118145.18023,34541720238.10201,44014431054.21288,45692778906.04298,49117415081.9637,51595556464.1629,55922750141.59501,58863496043.78573,64287670491.8973,69094990985.24396,69641260801.17426,71730495901.13408,76321250590.40106,80442600430.63266,84947383262.89212,88090434111.71722,88442796731.53464,87823699342.29105,86945457526.76872,90771059536.4893,91497228539.4122,90399261261.54791,92026450045.64503,90093893897.41045,89283051958.11006,92675803281.11288,96475509798.0632,97536740346.8813,102511117624.6415,105791474981.5028,109811551032.2069,113105897562.1832,119213616030.5411,126962501072.5262,132675813620.7899,139840307556.3125,143895676475.4457,148356442446.1843,152065353507.3391,153890137749.4271,161276864361.3997,166115170292.2414,170101934379.2553,174524584673.1159,181680092644.7136,187493855609.3446,194806115978.109,197728207717.7807,200496402625.8297,202300870249.462,192185826736.989,199488888152.9944,206670488126.5022,215143978139.6889
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,744923664.1221375,752116030.5343513,755198473.2824429,752116030.5343512,721291603.0534352,734648854.9618322,715126717.557252,685329770.9923666,687384732.8244276,687384732.8244276,657587786.2595421,641148091.6030536,652450381.6793894,673000000.0,661697709.9236641,615461068.70229,631900763.3587786,628818320.610687,656560305.3435115,651422900.7633588,662725190.8396946,
Andorra,,,,,,,,,,,859121720.6456589,899066287.4092098,972337883.975212,1048068101.58249,1106956843.362221,1112958826.12839,1149728615.734407,1182364531.331232,1199662526.43245,1200161072.868115,1226669361.866812,1225044337.854784,1240314039.451516,1262269064.879573,1284796612.648943,1314622305.638345,1357391200.069683,1432687348.142025,1505673115.003483,1578352472.295663,1638036096.162295,1679740553.006398,1695348938.062623,1677861678.410494,1717848180.079921,1765217871.359025,1847295889.290057,2014802622.350636,2079171403.409317,2164398280.154131,2240766094.418067,2422701909.330424,2532846713.485515,2753057566.573114,2977037419.598605,3137731825.905772,3288615581.628338,3339693968.846328,3154034156.980412,2986780565.706706,2927792903.992187,2927556638.324439,2781926981.022753,2683235436.380418,2750436142.735715,2789881258.503616,2893376871.723502,2903390035.737601,2949518094.678957,3008967036.982891,2672445970.886575,2893905656.789416,3170696511.929717,3252613194.161915
Angola,,,,,,,,,,,,,,,,,,,,,23063262074.12865,22048478261.80644,22048478261.80644,22974514663.77308,24352986041.01852,25205340428.27494,25936295739.89006,26995209500.20778,28649716324.68792,28661640755.43454,27672785864.63115,27947122601.43509,26315491127.13089,20004137038.18341,20272065135.45617,23312874911.62579,26470456890.20093,28395991341.42496,29728088881.44617,30376604083.87309,31304495193.77883,32621161809.65333,37079068252.73583,38187732393.49264,42369289092.85091,48737393239.50306,54366562157.63195,61983317520.59492,68906854084.05942,69499453030.66574,72556300249.88297,75075493556.7676,81488522604.1031,85525963563.91919,89650503847.70413,90496420506.59566,88161567931.43785,88031782694.37866,86872966032.87346,86262880684.94563,81399194250.73006,82375341952.56158,84883445838.16035,85733374749.97943
Antigua and Barbuda,,,,,,,,,,,,,,,,,,387095908.9935573,404064146.1943989,436713652.3791684,472353897.2043792,490375108.4008774,489961962.3539704,516242438.3289002,568719298.6054956,612191037.5234025,682557487.2470388,727784182.8243734,765727808.2650831,805945565.0436345,830215153.1796368,848287550.612035,858115307.9048301,903426095.155429,963738105.6844276,921725174.48967,982603889.7732754,1036364062.107077,1085396819.939546,1125640169.836047,1195469164.082734,1141098413.077839,1152820061.098933,1222875737.247463,1293395745.678799,1377129115.291743,1552134855.833756,1696721347.612355,1696483697.231391,1493533928.047699,1376434444.947386,1349473923.266928,1394989455.461127,1386609537.412359,1417273748.876151,1437755555.555555,1496700162.354083,1533568876.840893,1640200774.699661,1691054300.066286,1371776497.480488,1484148566.079468,1625386015.566326,1688158621.578231
Arab World,,,,,,,256199285853.3342,273551095727.2823,303097549664.7808,325720112068.662,399838989056.2458,429596691116.2225,489396718165.5613,554286765624.818,612377331267.396,612383036373.3624,700032908534.0361,746373226221.8033,768431858618.3134,850273302953.3328,903845785313.128,911414248104.6335,857504338107.756,825625404089.3132,836128745614.2728,829355258610.4697,822638537455.1311,824876561867.8539,851727768014.0085,884396260778.7047,953797428467.3872,946755977175.532,1008968144420.301,1041986921474.703,1077109752590.913,1107404578807.472,1160861481107.193,1224277897659.549,1282683498984.825,1318491309021.247,1402269870797.042,1431761053627.604,1449362288443.213,1511413168092.652,1648597987325.976,1740413142251.473,1849980652192.435,1935262917507.708,2042972736955.903,2056232674655.407,2155681654882.278,2232625504183.024,2344317186668.622,2404104967387.992,2464744944259.336,2544700996740.792,2636674297888.848,2677219844271.115,2747631798003.314,2791146445688.449,2659633647264.581,2766846308188.48,2925149568927.991,2955008072441.977
